"WOCHENTAG;""DATUM"";""VON"";""BIS"";""DAUER_IN_MINUTEN"";""LV_NUMMER"";""TITEL"";""LV_ART"";""LV_GRUPPE"";""ORT"";""LERNEINHEIT"";""UNTERRICHTSEINHEIT"";""EREIGNIS_TYP"";""TERMIN_TYP"";""VORTRAGENDER_KONTAKTPERSON"";""ANMERKUNG"";""INTERNE_BEMERKUNG""",
"FR;""19.06.2026"";""09:30"";""12:00"";""150"";"""";""Team-meeting HCTL"";"""";"""";""269"," Büro (2907.02.269)"";"""";"""";""kein Ereignistyp"";""fix"";""Enkelejda Kasneci"";"""";"""""
"FR;""19.06.2026"";""10:00"";""19:00"";""540"";"""";""aeyecol"";"""";"""";""137"," Seminarraum (2907.01.137)"";"""";"""";""kein Ereignistyp"";""geplant"";""Mingcong Ding"";"""";"""""
"MO;""22.06.2026"";""11:30"";""19:00"";""450"";"""";""aeyecol"";"""";"""";""131"," Seminarraum (2907.01.131)"";"""";"""";""kein Ereignistyp"";""geplant"";""Mingcong Ding"";"""";"""""
"DI;""23.06.2026"";""10:30"";""13:30"";""180"";"""";""aeyecol"";"""";"""";""120"," Seminarraum (2907.01.120)"";"""";"""";""kein Ereignistyp"";""geplant"";""Mingcong Ding"";"""";"""""
"MI;""24.06.2026"";""12:30"";""14:00"";""90"";"""";""aeyecol"";"""";"""";""141"," Seminarraum (2907.01.141)"";"""";"""";""kein Ereignistyp"";""geplant"";""Mingcong Ding"";"""";"""""
"DO;""25.06.2026"";""09:30"";""12:30"";""180"";"""";""aeyecol"";"""";"""";""131"," Seminarraum (2907.01.131)"";"""";"""";""kein Ereignistyp"";""geplant"";""Mingcong Ding"";"""";"""""
"FR;""26.06.2026"";""09:30"";""12:00"";""150"";"""";""Team-meeting HCTL"";"""";"""";""269"," Büro (2907.02.269)"";"""";"""";""kein Ereignistyp"";""fix"";""Enkelejda Kasneci"";"""";"""""
"FR;""26.06.2026"";""10:00"";""19:30"";""570"";"""";""aeyecol"";"""";"""";""140"," Seminarraum (2907.01.140)"";"""";"""";""kein Ereignistyp"";""geplant"";""Mingcong Ding"";"""";"""""
"MO;""29.06.2026"";""11:30"";""19:00"";""450"";"""";""aeyecol"";"""";"""";""131"," Seminarraum (2907.01.131)"";"""";"""";""kein Ereignistyp"";""geplant"";""Mingcong Ding"";"""";"""""
"DI;""30.06.2026"";""10:00"";""13:00"";""180"";"""";""aeyecol"";"""";"""";""137"," Seminarraum (2907.01.137)"";"""";"""";""kein Ereignistyp"";""geplant"";""Mingcong Ding"";"""";"""""
"MI;""01.07.2026"";""14:30"";""17:30"";""180"";"""";""aeyecol"";"""";"""";""140"," Seminarraum (2907.01.140)"";"""";"""";""kein Ereignistyp"";""geplant"";""Mingcong Ding"";"""";"""""
"DO;""02.07.2026"";""09:30"";""12:30"";""180"";"""";""aeyecol"";"""";"""";""131"," Seminarraum (2907.01.131)"";"""";"""";""kein Ereignistyp"";""geplant"";""Mingcong Ding"";"""";"""""
"FR;""03.07.2026"";""09:30"";""12:00"";""150"";"""";""Team-meeting HCTL"";"""";"""";""269"," Büro (2907.02.269)"";"""";"""";""kein Ereignistyp"";""fix"";""Enkelejda Kasneci"";"""";"""""
"FR;""03.07.2026"";""10:00"";""18:00"";""480"";"""";""Aeyecol"";"""";"""";""142"," Seminarraum (2907.01.142)"";"""";"""";""kein Ereignistyp"";""fix"";""Mingcong Ding"";"""";"""""
"MO;""06.07.2026"";""11:30"";""19:00"";""450"";"""";""aeyecol"";"""";"""";""131"," Seminarraum (2907.01.131)"";"""";"""";""kein Ereignistyp"";""geplant"";""Mingcong Ding"";"""";"""""
"DI;""07.07.2026"";""10:00"";""13:00"";""180"";"""";""aeyecol"";"""";"""";""137"," Seminarraum (2907.01.137)"";"""";"""";""kein Ereignistyp"";""geplant"";""Mingcong Ding"";"""";"""""
"MI;""08.07.2026"";""12:00"";""18:00"";""360"";"""";""aeyecol"";"""";"""";""120"," Seminarraum (2907.01.120)"";"""";"""";""kein Ereignistyp"";""geplant"";""Mingcong Ding"";"""";"""""
"DO;""09.07.2026"";""09:30"";""12:30"";""180"";"""";""aeyecol"";"""";"""";""131"," Seminarraum (2907.01.131)"";"""";"""";""kein Ereignistyp"";""geplant"";""Mingcong Ding"";"""";"""""
"FR;""10.07.2026"";""09:30"";""12:00"";""150"";"""";""Team-meeting HCTL"";"""";"""";""269"," Büro (2907.02.269)"";"""";"""";""kein Ereignistyp"";""fix"";""Enkelejda Kasneci"";"""";"""""
"FR;""10.07.2026"";""10:00"";""19:00"";""540"";"""";""aeyecol"";"""";"""";""140"," Seminarraum (2907.01.140)"";"""";"""";""kein Ereignistyp"";""geplant"";""Mingcong Ding"";"""";"""""
"MO;""13.07.2026"";""11:30"";""19:00"";""450"";"""";""aeyecol"";"""";"""";""131"," Seminarraum (2907.01.131)"";"""";"""";""kein Ereignistyp"";""geplant"";""Mingcong Ding"";"""";"""""
"DI;""14.07.2026"";""10:30"";""13:30"";""180"";"""";""aeyecol"";"""";"""";""120"," Seminarraum (2907.01.120)"";"""";"""";""kein Ereignistyp"";""geplant"";""Mingcong Ding"";"""";"""""
"MI;""15.07.2026"";""12:00"";""18:00"";""360"";"""";""aeyecol"";"""";"""";""120"," Seminarraum (2907.01.120)"";"""";"""";""kein Ereignistyp"";""geplant"";""Mingcong Ding"";"""";"""""
"DO;""16.07.2026"";""09:30"";""12:30"";""180"";"""";""aeyecol"";"""";"""";""140"," Seminarraum (2907.01.140)"";"""";"""";""kein Ereignistyp"";""geplant"";""Mingcong Ding"";"""";"""""
"FR;""17.07.2026"";""10:00"";""19:00"";""540"";"""";""aeyecol"";"""";"""";""131"," Seminarraum (2907.01.131)"";"""";"""";""kein Ereignistyp"";""geplant"";""Mingcong Ding"";"""";"""""
